n,time_f1,time_f2,time_f3,time_f4
3140,0.000012,0.000062,0.000207,0.009054,0.000316
3150,0.000011,0.000062,0.000207,0.009111,0.000315
3160,0.000011,0.000062,0.000212,0.009171,0.000318
3170,0.000012,0.000063,0.000209,0.009232,0.000319
3180,0.000012,0.000063,0.000210,0.009296,0.000317
3190,0.000012,0.000063,0.000210,0.009349,0.000321
3200,0.000012,0.000063,0.000211,0.009408,0.000320
3210,0.000012,0.000064,0.000212,0.009462,0.000320
3220,0.000013,0.000064,0.000216,0.009519,0.000324
3230,0.000012,0.000064,0.000213,0.009583,0.000326
3240,0.000012,0.000064,0.000214,0.009651,0.000327
3250,0.000012,0.000065,0.000218,0.009706,0.000329
3260,0.000013,0.000064,0.000215,0.009760,0.000330
3270,0.000012,0.000065,0.000216,0.009820,0.000333
3280,0.000012,0.000066,0.000216,0.009881,0.000328
3290,0.000013,0.000065,0.000220,0.009932,0.000331
3300,0.000013,0.000065,0.000217,0.010007,0.000334
3310,0.000013,0.000066,0.000218,0.010070,0.000330
3320,0.000012,0.000065,0.000223,0.010121,0.000332
3330,0.000013,0.000066,0.000223,0.010183,0.000334
3340,0.000012,0.000067,0.000220,0.010259,0.000333
3350,0.000013,0.000067,0.000221,0.010311,0.000336
3360,0.000012,0.000066,0.000222,0.010367,0.000337
3370,0.000013,0.000067,0.000231,0.010438,0.000335
3380,0.000013,0.000067,0.000226,0.010489,0.000341
3390,0.000013,0.000068,0.000223,0.010550,0.000343
3400,0.000013,0.000068,0.000224,0.010621,0.000341
3410,0.000013,0.000067,0.000229,0.010686,0.000348
3420,0.000013,0.000068,0.000226,0.010748,0.000343
3430,0.000013,0.000068,0.000226,0.010798,0.000348
3440,0.000013,0.000068,0.000227,0.010861,0.000344
3450,0.000013,0.000069,0.000231,0.010934,0.000347
3460,0.000013,0.000069,0.000228,0.010995,0.000355
3470,0.000013,0.000069,0.000229,0.011054,0.000349
3480,0.000013,0.000069,0.000229,0.011121,0.000354
3490,0.000013,0.000073,0.000230,0.011192,0.000351
3500,0.000013,0.000069,0.000234,0.011250,0.000351
3510,0.000013,0.000070,0.000237,0.011309,0.000352
3520,0.000013,0.000075,0.000232,0.011374,0.000360
3530,0.000013,0.000070,0.000229,0.011447,0.000357
3540,0.000013,0.000071,0.000233,0.011513,0.000354
3550,0.000014,0.000070,0.000234,0.011581,0.000354
3560,0.000013,0.000082,0.000235,0.011634,0.000362
3570,0.000013,0.000071,0.000235,0.011713,0.000356
3580,0.000013,0.000071,0.000239,0.011769,0.000363
3590,0.000013,0.000071,0.000237,0.011829,0.000356
3600,0.000016,0.000072,0.000238,0.011894,0.000360
3610,0.000014,0.000072,0.000238,0.011966,0.000364
3620,0.000014,0.000072,0.000239,0.012029,0.000365
3630,0.000014,0.000072,0.000239,0.012091,0.000365
3640,0.000014,0.000072,0.000232,0.012165,0.000368
3650,0.000013,0.000072,0.000241,0.012226,0.000366
3660,0.000014,0.000073,0.000241,0.012291,0.000374
3670,0.000014,0.000073,0.000242,0.012359,0.000374
3680,0.000014,0.000073,0.000242,0.012445,0.000372
3690,0.000014,0.000074,0.000243,0.012518,0.000372
3700,0.000014,0.000074,0.000248,0.012563,0.000377
3710,0.000014,0.000073,0.000244,0.012636,0.000373
3720,0.000014,0.000074,0.000245,0.012705,0.000380
3730,0.000014,0.000074,0.000246,0.012769,0.000376
3740,0.000014,0.000074,0.000251,0.012842,0.000379
3750,0.000014,0.000075,0.000247,0.012911,0.000383
3760,0.000014,0.000076,0.000248,0.012972,0.000378
3770,0.000014,0.000075,0.000252,0.013047,0.000379
3780,0.000015,0.000075,0.000253,0.013112,0.000381
3790,0.000014,0.000076,0.000254,0.013177,0.000383
3800,0.000014,0.000075,0.000255,0.013255,0.000386
3810,0.000014,0.000076,0.000255,0.013321,0.000382
3820,0.000015,0.000080,0.000251,0.013391,0.000388
3830,0.000015,0.000076,0.000252,0.013466,0.000389
3840,0.000014,0.000076,0.000253,0.013541,0.000383
3850,0.000015,0.000076,0.000257,0.013610,0.000393
3860,0.000014,0.000077,0.000255,0.013686,0.000389
3870,0.000014,0.000076,0.000259,0.013788,0.000404
3880,0.000014,0.000077,0.000256,0.013804,0.000398
3890,0.000015,0.000077,0.000256,0.013875,0.000399
3900,0.000014,0.000078,0.000259,0.013957,0.000399
3910,0.000015,0.000078,0.000258,0.014049,0.000404
3920,0.000014,0.000077,0.000258,0.014111,0.000400
3930,0.000014,0.000078,0.000259,0.014207,0.000400
3940,0.000014,0.000078,0.000260,0.014255,0.000398
3950,0.000015,0.000079,0.000265,0.014327,0.000399
3960,0.000015,0.000079,0.000263,0.014401,0.000405
3970,0.000015,0.000079,0.000262,0.014464,0.000406
3980,0.000014,0.000079,0.000262,0.014534,0.000401
3990,0.000015,0.000079,0.000267,0.014602,0.000414
4000,0.000015,0.000079,0.000263,0.014678,0.000402
4010,0.000015,0.000079,0.000268,0.014800,0.000404
4020,0.000015,0.000080,0.000265,0.014824,0.000410
4030,0.000015,0.000080,0.000265,0.014901,0.000403
4040,0.000018,0.000080,0.000266,0.015004,0.000406
4050,0.000015,0.000084,0.000267,0.015062,0.000408
4060,0.000016,0.000080,0.000271,0.015122,0.000407
4070,0.000015,0.000080,0.000270,0.015215,0.000408
4080,0.000015,0.000090,0.000268,0.015295,0.000414
4090,0.000016,0.000081,0.000270,0.015363,0.000416
4100,0.000016,0.000081,0.000271,0.015445,0.000410
4110,0.000015,0.000082,0.000275,0.015497,0.000415
4120,0.000016,0.000082,0.000272,0.015586,0.000415
4130,0.000015,0.000082,0.000272,0.015654,0.000423
4140,0.000015,0.000083,0.000273,0.015746,0.000422
4150,0.000016,0.000082,0.000278,0.015808,0.000428
4160,0.000016,0.000083,0.000274,0.015878,0.000425
4170,0.000016,0.000083,0.000275,0.015950,0.000428
4180,0.000016,0.000083,0.000275,0.016036,0.000426
4190,0.000016,0.000083,0.000276,0.016106,0.000425
4200,0.000016,0.000083,0.000276,0.016181,0.000431
4210,0.000015,0.000084,0.000278,0.016258,0.000433
4220,0.000016,0.000084,0.000278,0.016341,0.000427
4230,0.000016,0.000084,0.000278,0.016446,0.000431
4240,0.000015,0.000088,0.000279,0.016489,0.000439
4250,0.000016,0.000084,0.000280,0.016571,0.000434
4260,0.000016,0.000085,0.000286,0.016646,0.000447
4270,0.000016,0.000084,0.000281,0.016726,0.000441
4280,0.000016,0.000085,0.000282,0.016803,0.000436
4290,0.000016,0.000085,0.000293,0.016883,0.000445
4300,0.000016,0.000086,0.000287,0.016967,0.000438
4310,0.000017,0.000085,0.000284,0.017047,0.000439
4320,0.000016,0.000086,0.000285,0.017129,0.000439
4330,0.000016,0.000086,0.000293,0.017250,0.000444
4340,0.000016,0.000087,0.000290,0.017277,0.000442
4350,0.000016,0.000087,0.000286,0.017371,0.000466
4360,0.000016,0.000087,0.000288,0.017446,0.000449
4370,0.000016,0.000086,0.000292,0.017515,0.000452
4380,0.000016,0.000086,0.000288,0.017620,0.000450
4390,0.000016,0.000087,0.000289,0.017687,0.000452
4400,0.000016,0.000088,0.000290,0.017764,0.000457
4410,0.000016,0.000088,0.000291,0.017842,0.000454
4420,0.000016,0.000087,0.000291,0.017919,0.000454
4430,0.000016,0.000091,0.000292,0.018010,0.000454
4440,0.000017,0.000088,0.000295,0.018082,0.000461
4450,0.000016,0.000093,0.000293,0.018163,0.000454
4460,0.000016,0.000088,0.000295,0.018243,0.000457
4470,0.000017,0.000089,0.000295,0.018327,0.000458
4480,0.000016,0.000089,0.000295,0.018413,0.000467
4490,0.000017,0.000092,0.000296,0.018488,0.000470
4500,0.000016,0.000089,0.000297,0.018581,0.000461
4510,0.000017,0.000090,0.000297,0.018686,0.000459
4520,0.000016,0.000089,0.000301,0.018751,0.000467
4530,0.000017,0.000090,0.000299,0.018823,0.000471
4540,0.000017,0.000090,0.000299,0.018902,0.000463
4550,0.000017,0.000090,0.000300,0.018993,0.000466
4560,0.000017,0.000090,0.000301,0.019086,0.000478
4570,0.000017,0.000091,0.000301,0.019168,0.000473
4580,0.000017,0.000091,0.000302,0.019242,0.000475
4590,0.000017,0.000091,0.000302,0.019331,0.000471
4600,0.000017,0.000094,0.000303,0.019406,0.000474
4610,0.000017,0.000092,0.000304,0.019492,0.000472
4620,0.000017,0.000092,0.000308,0.019577,0.000479
4630,0.000017,0.000092,0.000305,0.019662,0.000477
4640,0.000017,0.000092,0.000306,0.019746,0.000472
4650,0.000017,0.000092,0.000310,0.019837,0.000479
4660,0.000017,0.000092,0.000311,0.019935,0.000475
4670,0.000017,0.000092,0.000309,0.020000,0.000478
4680,0.000017,0.000093,0.000312,0.020088,0.000479
4690,0.000017,0.000093,0.000309,0.020178,0.000480
4700,0.000017,0.000097,0.000309,0.020269,0.000491
4710,0.000017,0.000094,0.000311,0.020375,0.000483
4720,0.000017,0.000093,0.000320,0.020441,0.000485
4730,0.000017,0.000093,0.000311,0.020527,0.000484
4740,0.000018,0.000094,0.000315,0.020617,0.000492
4750,0.000018,0.000094,0.000313,0.020691,0.000496
4760,0.000018,0.000095,0.000313,0.020791,0.000487
4770,0.000017,0.000098,0.000314,0.020875,0.000489
4780,0.000018,0.000095,0.000318,0.020979,0.000489
4790,0.000018,0.000095,0.000323,0.021039,0.000500
4800,0.000018,0.000103,0.000316,0.021143,0.000495
4810,0.000018,0.000096,0.000317,0.021233,0.000500
4820,0.000018,0.000095,0.000317,0.021310,0.000499
4830,0.000018,0.000095,0.000319,0.021397,0.000503
4840,0.000018,0.000096,0.000319,0.021497,0.000504
4850,0.000018,0.000096,0.000323,0.021570,0.000506
4860,0.000018,0.000097,0.000321,0.021668,0.000503
4870,0.000018,0.000097,0.000321,0.021741,0.000500
4880,0.000018,0.000101,0.000321,0.021839,0.000500
4890,0.000018,0.000097,0.000322,0.021940,0.000502
4900,0.000018,0.000097,0.000321,0.022012,0.000501
4910,0.000019,0.000101,0.000324,0.022112,0.000501
4920,0.000018,0.000097,0.000325,0.022193,0.000510
4930,0.000019,0.000098,0.000325,0.022295,0.000508
4940,0.000018,0.000098,0.000330,0.022383,0.000514
4950,0.000018,0.000098,0.000326,0.022464,0.000509
4960,0.000019,0.000098,0.000329,0.022555,0.000514
4970,0.000020,0.000098,0.000327,0.022648,0.000509
4980,0.000019,0.000099,0.000328,0.022734,0.000510
4990,0.000018,0.000104,0.000328,0.022832,0.000512
